date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:34	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Apr%202004%2018:40:07%20GMT	www.cs.bath.ac.uk/robots.txt		(from )
21:38:34	2763/2763	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Apr%202004%2018:40:07%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/_jpff/CM20029/index.html	(from )
21:38:35	148/148	---M--	200	added ('OK')	image/gif	etag:%223774c-94-d94f4080%22	www.cs.bath.ac.uk/icons/blank.gif	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/icons/blank.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:36	2763/2763	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Apr%202004%2018:40:09%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=N&O=D	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/_jpff/CM20029/index1f8d.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:36	2763/2763	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Apr%202004%2018:40:09%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=M&O=A	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/_jpff/CM20029/indexa950.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:37	2763/2763	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Apr%202004%2018:40:10%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=S&O=A	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/_jpff/CM20029/indexb478.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:37	2763/2763	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Apr%202004%2018:40:10%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=D&O=A	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/_jpff/CM20029/indexd114.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:37	216/216	---M--	200	added ('OK')	image/gif	etag:%2237747-d8-d93ffe40%22	www.cs.bath.ac.uk/icons/back.gif	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/icons/back.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:38	238/238	---M--	200	added ('OK')	image/gif	etag:%2237759-ee-d9d894c0%22	www.cs.bath.ac.uk/icons/dvi.gif	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/icons/dvi.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
21:38:39	276/276	---M--	200	added ('OK')	image/gif	etag:%2237769-114-da436480%22	www.cs.bath.ac.uk/icons/layout.gif	C:/My%20Web%20Sites/ass/www.cs.bath.ac.uk/icons/layout.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
